sample_id,site,sample.date,plot,depth_cm,sample_name,rep
81,CCNRD,2025,405,15,405CCNRD15,A
82,CCNRD,2025,405,15,405CCNRD15,B
83,CCNRD,2025,406,15,406CCNRD15,A
84,CCNRD,2025,406,15,406CCNRD15,B
85,CCNRD,2025,407,15,407CCNRD15,A
86,CCNRD,2025,407,15,407CCNRD15,B
87,CCNRD,2025,408,15,408CCNRD15,A
88,CCNRD,2025,408,15,408CCNRD15,B
89,CCNRD,2025,101,30,101CCNRD30,A
90,CCNRD,2025,101,30,101CCNRD30,B
91,CCNRD,2025,102,30,102CCNRD30,A
92,CCNRD,2025,102,30,102CCNRD30,B
93,CCNRD,2025,103,30,103CCNRD30,A
94,CCNRD,2025,103,30,103CCNRD30,B
95,CCNRD,2025,104,30,104CCNRD30,A
96,CCNRD,2025,104,30,104CCNRD30,B
97,CCNRD,2025,105,30,105CCNRD30,A
98,CCNRD,2025,105,30,105CCNRD30,B
99,CCNRD,2025,106,30,106CCNRD30,A
100,CCNRD,2025,106,30,106CCNRD30,B
101,CCNRD,2025,107,30,107CCNRD30,A
102,CCNRD,2025,107,30,107CCNRD30,B
103,CCNRD,2025,108,30,108CCNRD30,A
104,CCNRD,2025,108,30,108CCNRD30,B
105,CCNRD,2025,109,30,109CCNRD30,A
106,CCNRD,2025,109,30,109CCNRD30,B
107,CCNRD,2025,110,30,110CCNRD30,A
108,CCNRD,2025,110,30,110CCNRD30,B
109,CCNRD,2025,111,30,111CCNRD30,A
110,CCNRD,2025,111,30,111CCNRD30,B
111,CCNRD,2025,112,30,112CCNRD30,A
112,CCNRD,2025,112,30,112CCNRD30,B
113,CCNRD,2025,201,30,201CCNRD30,A
114,CCNRD,2025,201,30,201CCNRD30,B
115,CCNRD,2025,202,30,202CCNRD30,A
116,CCNRD,2025,202,30,202CCNRD30,B
117,CCNRD,2025,203,30,203CCNRD30,A
118,CCNRD,2025,203,30,203CCNRD30,B
119,CCNRD,2025,204,30,204CCNRD30,A
120,CCNRD,2025,204,30,204CCNRD30,B
121,CCNRD,2025,205,30,205CCNRD30,A
122,CCNRD,2025,205,30,205CCNRD30,B
123,CCNRD,2025,206,30,206CCNRD30,A
124,CCNRD,2025,206,30,206CCNRD30,B
125,CCNRD,2025,207,30,207CCNRD30,A
126,CCNRD,2025,207,30,207CCNRD30,B
127,CCNRD,2025,208,30,208CCNRD30,A
128,CCNRD,2025,208,30,208CCNRD30,B
129,CCNRD,2025,209,30,209CCNRD30,A
130,CCNRD,2025,209,30,209CCNRD30,B
131,CCNRD,2025,210,30,210CCNRD30,A
132,CCNRD,2025,210,30,210CCNRD30,B
133,CCNRD,2025,211,30,211CCNRD30,A
134,CCNRD,2025,211,30,211CCNRD30,B
135,CCNRD,2025,212,30,212CCNRD30,A
136,CCNRD,2025,212,30,212CCNRD30,B
137,CCNRD,2025,301,30,301CCNRD30,A
138,CCNRD,2025,301,30,301CCNRD30,B
139,CCNRD,2025,302,30,302CCNRD30,A
140,CCNRD,2025,302,30,302CCNRD30,B
141,CCNRD,2025,303,30,303CCNRD30,A
142,CCNRD,2025,303,30,303CCNRD30,B
143,CCNRD,2025,304,30,304CCNRD30,A
144,CCNRD,2025,304,30,304CCNRD30,B
145,CCNRD,2025,305,30,305CCNRD30,A
146,CCNRD,2025,305,30,305CCNRD30,B
147,CCNRD,2025,306,30,306CCNRD30,A
148,CCNRD,2025,306,30,306CCNRD30,B
149,CCNRD,2025,307,30,307CCNRD30,A
150,CCNRD,2025,307,30,307CCNRD30,B
151,CCNRD,2025,308,30,308CCNRD30,A
152,CCNRD,2025,308,30,308CCNRD30,B
153,CCNRD,2025,309,30,309CCNRD30,A
154,CCNRD,2025,309,30,309CCNRD30,B
155,CCNRD,2025,310,30,310CCNRD30,A
156,CCNRD,2025,310,30,310CCNRD30,B
157,CCNRD,2025,311,30,311CCNRD30,A
158,CCNRD,2025,311,30,311CCNRD30,B
159,CCNRD,2025,312,30,312CCNRD30,A
160,CCNRD,2025,312,30,312CCNRD30,B
161,CCNRD,2025,401,30,401CCNRD30,A
162,CCNRD,2025,401,30,401CCNRD30,B
163,CCNRD,2025,402,30,402CCNRD30,A
164,CCNRD,2025,402,30,402CCNRD30,B
165,CCNRD,2025,403,30,403CCNRD30,A
166,CCNRD,2025,403,30,403CCNRD30,B
167,CCNRD,2025,404,30,404CCNRD30,A
168,CCNRD,2025,404,30,404CCNRD30,B
169,CCNRD,2025,405,30,405CCNRD30,A
170,CCNRD,2025,405,30,405CCNRD30,B
171,CCNRD,2025,406,30,406CCNRD30,A
172,CCNRD,2025,406,30,406CCNRD30,B
173,CCNRD,2025,407,30,407CCNRD30,A
174,CCNRD,2025,407,30,407CCNRD30,B
175,CCNRD,2025,408,30,408CCNRD30,A
176,CCNRD,2025,408,30,408CCNRD30,B
177,CCNRD,2025,101,60,101CCNRD60,A
178,CCNRD,2025,101,60,101CCNRD60,B
179,CCNRD,2025,102,60,102CCNRD60,A
180,CCNRD,2025,102,60,102CCNRD60,B
181,CCNRD,2025,103,60,103CCNRD60,A
182,CCNRD,2025,103,60,103CCNRD60,B
183,CCNRD,2025,104,60,104CCNRD60,A
184,CCNRD,2025,104,60,104CCNRD60,B
185,CCNRD,2025,105,60,105CCNRD60,A
186,CCNRD,2025,105,60,105CCNRD60,B
187,CCNRD,2025,106,60,106CCNRD60,A
188,CCNRD,2025,106,60,106CCNRD60,B
189,CCNRD,2025,107,60,107CCNRD60,A
190,CCNRD,2025,107,60,107CCNRD60,B
191,CCNRD,2025,108,60,108CCNRD60,A
192,CCNRD,2025,108,60,108CCNRD60,B
193,CCNRD,2025,109,60,109CCNRD60,A
194,CCNRD,2025,109,60,109CCNRD60,B
195,CCNRD,2025,110,60,110CCNRD60,A
196,CCNRD,2025,110,60,110CCNRD60,B
197,CCNRD,2025,111,60,111CCNRD60,A
198,CCNRD,2025,111,60,111CCNRD60,B
199,CCNRD,2025,112,60,112CCNRD60,A
200,CCNRD,2025,112,60,112CCNRD60,B
201,CCNRD,2025,201,60,201CCNRD60,A
202,CCNRD,2025,201,60,201CCNRD60,B
203,CCNRD,2025,202,60,202CCNRD60,A
204,CCNRD,2025,202,60,202CCNRD60,B
205,CCNRD,2025,203,60,203CCNRD60,A
206,CCNRD,2025,203,60,203CCNRD60,B
207,CCNRD,2025,204,60,204CCNRD60,A
208,CCNRD,2025,204,60,204CCNRD60,B
209,CCNRD,2025,205,60,205CCNRD60,A
210,CCNRD,2025,205,60,205CCNRD60,B
211,CCNRD,2025,206,60,206CCNRD60,A
212,CCNRD,2025,206,60,206CCNRD60,B
213,CCNRD,2025,207,60,207CCNRD60,A
214,CCNRD,2025,207,60,207CCNRD60,B
215,CCNRD,2025,208,60,208CCNRD60,A
216,CCNRD,2025,208,60,208CCNRD60,B
217,CCNRD,2025,209,60,209CCNRD60,A
218,CCNRD,2025,209,60,209CCNRD60,B
219,CCNRD,2025,210,60,210CCNRD60,A
220,CCNRD,2025,210,60,210CCNRD60,B
221,CCNRD,2025,211,60,211CCNRD60,A
222,CCNRD,2025,211,60,211CCNRD60,B
223,CCNRD,2025,212,60,212CCNRD60,A
224,CCNRD,2025,212,60,212CCNRD60,B
225,CCNRD,2025,301,60,301CCNRD60,A
226,CCNRD,2025,301,60,301CCNRD60,B
227,CCNRD,2025,302,60,302CCNRD60,A
228,CCNRD,2025,302,60,302CCNRD60,B
229,CCNRD,2025,303,60,303CCNRD60,A
230,CCNRD,2025,303,60,303CCNRD60,B
231,CCNRD,2025,304,60,304CCNRD60,A
232,CCNRD,2025,304,60,304CCNRD60,B
233,CCNRD,2025,305,60,305CCNRD60,A
234,CCNRD,2025,305,60,305CCNRD60,B
235,CCNRD,2025,306,60,306CCNRD60,A
236,CCNRD,2025,306,60,306CCNRD60,B
237,CCNRD,2025,307,60,307CCNRD60,A
238,CCNRD,2025,307,60,307CCNRD60,B
239,CCNRD,2025,308,60,308CCNRD60,A
240,CCNRD,2025,308,60,308CCNRD60,B
241,CCNRD,2025,309,60,309CCNRD60,A
242,CCNRD,2025,309,60,309CCNRD60,B
243,CCNRD,2025,310,60,310CCNRD60,A
244,CCNRD,2025,310,60,310CCNRD60,B
245,CCNRD,2025,311,60,311CCNRD60,A
246,CCNRD,2025,311,60,311CCNRD60,B
247,CCNRD,2025,312,60,312CCNRD60,A
248,CCNRD,2025,312,60,312CCNRD60,B
249,CCNRD,2025,401,60,401CCNRD60,A
250,CCNRD,2025,401,60,401CCNRD60,B
251,CCNRD,2025,402,60,402CCNRD60,A
252,CCNRD,2025,402,60,402CCNRD60,B
253,CCNRD,2025,403,60,403CCNRD60,A
254,CCNRD,2025,403,60,403CCNRD60,B
255,CCNRD,2025,404,60,404CCNRD60,A
256,CCNRD,2025,404,60,404CCNRD60,B
257,CCNRD,2025,405,60,405CCNRD60,A
258,CCNRD,2025,405,60,405CCNRD60,B
259,CCNRD,2025,406,60,406CCNRD60,A
260,CCNRD,2025,406,60,406CCNRD60,B
261,CCNRD,2025,407,60,407CCNRD60,A
262,CCNRD,2025,407,60,407CCNRD60,B
263,CCNRD,2025,408,60,408CCNRD60,A
264,CCNRD,2025,408,60,408CCNRD60,B
265,CCNRD,2025,101,90,101CCNRD90,A
266,CCNRD,2025,101,90,101CCNRD90,B
267,CCNRD,2025,102,90,102CCNRD90,A
268,CCNRD,2025,102,90,102CCNRD90,B
269,CCNRD,2025,103,90,103CCNRD90,A
270,CCNRD,2025,103,90,103CCNRD90,B
271,CCNRD,2025,104,90,104CCNRD90,A
272,CCNRD,2025,104,90,104CCNRD90,B
273,CCNRD,2025,105,90,105CCNRD90,A
274,CCNRD,2025,105,90,105CCNRD90,B
275,CCNRD,2025,106,90,106CCNRD90,A
276,CCNRD,2025,106,90,106CCNRD90,B
277,CCNRD,2025,107,90,107CCNRD90,A
278,CCNRD,2025,107,90,107CCNRD90,B
279,CCNRD,2025,108,90,108CCNRD90,A
280,CCNRD,2025,108,90,108CCNRD90,B
281,CCNRD,2025,109,90,109CCNRD90,A
282,CCNRD,2025,109,90,109CCNRD90,B
283,CCNRD,2025,110,90,110CCNRD90,A
284,CCNRD,2025,110,90,110CCNRD90,B
285,CCNRD,2025,111,90,111CCNRD90,A
286,CCNRD,2025,111,90,111CCNRD90,B
287,CCNRD,2025,112,90,112CCNRD90,A
288,CCNRD,2025,112,90,112CCNRD90,B
289,CCNRD,2025,201,90,201CCNRD90,A
290,CCNRD,2025,201,90,201CCNRD90,B
291,CCNRD,2025,202,90,202CCNRD90,A
292,CCNRD,2025,202,90,202CCNRD90,B
293,CCNRD,2025,203,90,203CCNRD90,A
294,CCNRD,2025,203,90,203CCNRD90,B
295,CCNRD,2025,204,90,204CCNRD90,A
296,CCNRD,2025,204,90,204CCNRD90,B
297,CCNRD,2025,205,90,205CCNRD90,A
298,CCNRD,2025,205,90,205CCNRD90,B
299,CCNRD,2025,206,90,206CCNRD90,A
300,CCNRD,2025,206,90,206CCNRD90,B
301,CCNRD,2025,207,90,207CCNRD90,A
302,CCNRD,2025,207,90,207CCNRD90,B
303,CCNRD,2025,208,90,208CCNRD90,A
304,CCNRD,2025,208,90,208CCNRD90,B
305,CCNRD,2025,209,90,209CCNRD90,A
306,CCNRD,2025,209,90,209CCNRD90,B
307,CCNRD,2025,210,90,210CCNRD90,A
308,CCNRD,2025,210,90,210CCNRD90,B
309,CCNRD,2025,211,90,211CCNRD90,A
310,CCNRD,2025,211,90,211CCNRD90,B
311,CCNRD,2025,212,90,212CCNRD90,A
312,CCNRD,2025,212,90,212CCNRD90,B
313,CCNRD,2025,301,90,301CCNRD90,A
314,CCNRD,2025,301,90,301CCNRD90,B
315,CCNRD,2025,302,90,302CCNRD90,A
316,CCNRD,2025,302,90,302CCNRD90,B
317,CCNRD,2025,303,90,303CCNRD90,A
318,CCNRD,2025,303,90,303CCNRD90,B
319,CCNRD,2025,304,90,304CCNRD90,A
320,CCNRD,2025,304,90,304CCNRD90,B
321,CCNRD,2025,305,90,305CCNRD90,A
322,CCNRD,2025,305,90,305CCNRD90,B
323,CCNRD,2025,306,90,306CCNRD90,A
324,CCNRD,2025,306,90,306CCNRD90,B
325,CCNRD,2025,307,90,307CCNRD90,A
326,CCNRD,2025,307,90,307CCNRD90,B
327,CCNRD,2025,308,90,308CCNRD90,A
328,CCNRD,2025,308,90,308CCNRD90,B
329,CCNRD,2025,309,90,309CCNRD90,A
330,CCNRD,2025,309,90,309CCNRD90,B
331,CCNRD,2025,310,90,310CCNRD90,A
332,CCNRD,2025,310,90,310CCNRD90,B
333,CCNRD,2025,311,90,311CCNRD90,A
334,CCNRD,2025,311,90,311CCNRD90,B
335,CCNRD,2025,312,90,312CCNRD90,A
336,CCNRD,2025,312,90,312CCNRD90,B
337,CCNRD,2025,401,90,401CCNRD90,A
338,CCNRD,2025,401,90,401CCNRD90,B
339,CCNRD,2025,402,90,402CCNRD90,A
340,CCNRD,2025,402,90,402CCNRD90,B
341,CCNRD,2025,403,90,403CCNRD90,A
342,CCNRD,2025,403,90,403CCNRD90,B
343,CCNRD,2025,404,90,404CCNRD90,A
344,CCNRD,2025,404,90,404CCNRD90,B
345,CCNRD,2025,405,90,405CCNRD90,A
346,CCNRD,2025,405,90,405CCNRD90,B
347,CCNRD,2025,406,90,406CCNRD90,A
348,CCNRD,2025,406,90,406CCNRD90,B
349,CCNRD,2025,407,90,407CCNRD90,A
350,CCNRD,2025,407,90,407CCNRD90,B
351,CCNRD,2025,408,90,408CCNRD90,A
352,CCNRD,2025,408,90,408CCNRD90,B
353,Soil Standard,2025,UMNTC,na,SS01,ss
354,Soil Standard,2025,UMNTC,na,SS02,ss
355,Soil Standard,2025,UMNTC,na,SS03,ss
356,Soil Standard,2025,UMNTC,na,SS04,ss
357,Soil Standard,2025,UMNTC,na,SS05,ss
358,Soil Standard,2025,UMNTC,na,SS05,ss
