sample_id,site,plot,depth_cm,rep,mass_g,run_date
268,CCNRD,102,90,B,2.4621,20251219
269,CCNRD,103,90,A,2.5169,20251219
270,CCNRD,103,90,B,2.5119,20251219
271,CCNRD,104,90,A,2.5227,20251219
272,CCNRD,104,90,B,2.5416,20251219
273,CCNRD,105,90,A,2.5301,20251219
274,CCNRD,105,90,B,2.5098,20251219
275,CCNRD,106,90,A,2.5423,20251219
276,CCNRD,106,90,B,2.4945,20251219
277,CCNRD,107,90,A,2.5068,20251219
278,CCNRD,107,90,B,2.479,20251219
279,CCNRD,108,90,A,2.5399,20251219
280,CCNRD,108,90,B,2.4704,20251219
281,CCNRD,109,90,A,2.5365,20251219
282,CCNRD,109,90,B,2.5138,20251219
283,CCNRD,110,90,A,2.5283,20251219
284,CCNRD,110,90,B,2.5243,20251219
285,CCNRD,111,90,A,2.4756,20251219
286,CCNRD,111,90,B,2.486,20251219
287,CCNRD,112,90,A,2.4711,20251219
288,CCNRD,112,90,B,2.5332,20251219
289,CCNRD,201,90,A,2.4952,20251219
290,CCNRD,201,90,B,2.5309,20251219
291,CCNRD,202,90,A,2.4998,20251219
292,CCNRD,202,90,B,2.504,20251219
293,CCNRD,203,90,A,2.4901,20251219
294,CCNRD,203,90,B,2.5252,20251219
295,CCNRD,204,90,A,2.4913,20251219
296,CCNRD,204,90,B,2.529,20251219
297,CCNRD,205,90,A,2.4927,20251219
298,CCNRD,205,90,B,2.4991,20251219
299,CCNRD,206,90,A,2.514,20251219
300,CCNRD,206,90,B,2.5228,20251219
301,CCNRD,207,90,A,2.5067,20251219
302,CCNRD,207,90,B,2.5206,20251219
303,CCNRD,208,90,A,2.5253,20251219
304,CCNRD,208,90,B,2.4607,20251219
305,CCNRD,209,90,A,2.4687,20251219
306,CCNRD,209,90,B,2.4863,20251219
307,CCNRD,210,90,A,2.4876,20251219
308,CCNRD,210,90,B,2.4954,20251219
309,CCNRD,211,90,A,2.5235,20251219
310,CCNRD,211,90,B,2.472,20251219
311,CCNRD,212,90,A,2.4731,20251219
312,CCNRD,212,90,B,2.4639,20251219
313,CCNRD,301,90,A,2.4936,20251219
314,CCNRD,301,90,B,2.5069,20251219
315,CCNRD,302,90,A,2.5062,20251219
316,CCNRD,302,90,B,2.4699,20251219
317,CCNRD,303,90,A,2.4733,20251219
318,CCNRD,303,90,B,2.5165,20251219
319,CCNRD,304,90,A,2.4728,20251219
320,CCNRD,304,90,B,2.5428,20251219
321,CCNRD,305,90,A,2.5319,20251219
322,CCNRD,305,90,B,2.5,20251219
323,CCNRD,306,90,A,2.5308,20251219
324,CCNRD,306,90,B,2.5167,20251219
325,CCNRD,307,90,A,2.507,20251219
326,CCNRD,307,90,B,2.478,20251219
327,CCNRD,308,90,A,2.4831,20251219
328,CCNRD,308,90,B,2.4864,20251219
329,CCNRD,309,90,A,2.5126,20251219
330,CCNRD,309,90,B,2.4901,20251219
331,CCNRD,310,90,A,2.4748,20251219
332,CCNRD,310,90,B,2.4949,20251219
333,CCNRD,311,90,A,2.475,20251219
334,CCNRD,311,90,B,2.5135,20251219
335,CCNRD,312,90,A,2.5276,20251219
336,CCNRD,312,90,B,2.507,20251219
337,CCNRD,401,90,A,2.4881,20251219
338,CCNRD,401,90,B,2.4923,20251219
339,CCNRD,402,90,A,2.4892,20251219
340,CCNRD,402,90,B,2.4918,20251219
341,CCNRD,403,90,A,2.5111,20251219
342,CCNRD,403,90,B,2.505,20251219
343,CCNRD,404,90,A,2.5175,20251219
344,CCNRD,404,90,B,2.5229,20251219
345,CCNRD,405,90,A,2.5143,20251219
346,CCNRD,405,90,B,2.522,20251219
347,CCNRD,406,90,A,2.5245,20251219
348,CCNRD,406,90,B,2.4849,20251219
349,CCNRD,407,90,A,2.536,20251219
350,CCNRD,407,90,B,2.496,20251219
351,CCNRD,408,90,A,2.4871,20251219
352,CCNRD,408,90,B,2.5327,20251219
353,soil standard,,,,2.4968,20251203
354,soil standard,,,,2.5346,20251212
355,soil standard,,,,2.5242,20251218
356,soil standard,,,,2.4974,20251218
357,soil standard,,,,2.5274,20251219
358,soil standard,,,,2.4876,20251230
359,CCNRD,101,15,A,2.5069,20251230
360,CCNRD,101,15,B,2.4649,20251230
361,CCNRD,109,60,A,2.4591,20251230
362,CCNRD,109,60,B,2.4525,20251230
363,CCNRD,208,30,A,2.4799,20251230
364,CCNRD,208,30,B,2.4995,20251230
365,CCNRD,209,15,A,2.4252,20251230
366,CCNRD,209,15,B,2.4578,20251230
367,CCNRD,301,15,A,2.5306,20251230
368,CCNRD,301,15,B,2.5149,20251230
369,CCNRD,304,15,A,2.5247,20251230
370,CCNRD,304,15,B,2.5213,20251230
371,CCNRD,308,30,A,2.5075,20251230
372,CCNRD,308,30,B,2.5445,20251230
373,CCNRD,406,90,A,2.4887,20251230
374,CCNRD,406,90,B,2.5456,20251230
125,CCNRD,207,30,A,2.4803,20251230
126,CCNRD,207,30,B,2.5214,20251230
127,CCNRD,208,30,A,2.5244,20251230
128,CCNRD,208,30,B,2.4597,20251230
129,CCNRD,209,30,A,2.5145,20251230
130,CCNRD,209,30,B,2.524,20251230
131,CCNRD,210,30,A,2.4843,20251230
132,CCNRD,210,30,B,2.5338,20251230
133,CCNRD,211,30,A,2.4619,20251230
134,CCNRD,211,30,B,2.5286,20251230
135,CCNRD,212,30,A,2.4965,20251230
136,CCNRD,212,30,B,2.5449,20251230
137,CCNRD,301,30,A,2.5195,20251230
138,CCNRD,301,30,B,2.4873,20251230
139,CCNRD,302,30,A,2.5395,20251230
140,CCNRD,302,30,B,2.4625,20251230
141,CCNRD,303,30,A,2.4849,20251230
142,CCNRD,303,30,B,2.5433,20251230
143,CCNRD,304,30,A,2.519,20251230
144,CCNRD,304,30,B,2.5215,20251230
145,CCNRD,305,30,A,2.4558,20251230
146,CCNRD,305,30,B,2.5118,20251230
147,CCNRD,306,30,A,2.5043,20251230
148,CCNRD,306,30,B,2.4866,20251230
149,CCNRD,307,30,A,2.5314,20251230
150,CCNRD,307,30,B,2.5427,20251230
