pause,study,plot,depth.cm,soilmass,cup_label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES
20,CCNRD,309,90,10.0224,247b,309CCNRD90,2,1:46,1:48,1815,1:47,20251216,25,25.5,
21,CCNRD,309,90,10.0303,247c,309CCNRD90,2,1:48,1:50,2057,1:49,20251216,25,25.5,
22,CCNRD,310,90,10.0266,248a,310CCNRD90,2,1:50,1:52,1833,1:51,20251216,25,25.5,
23,CCNRD,310,90,10.0295,248b,310CCNRD90,2,1:52,1:54,1695,1:53,20251216,25,25.5,
24,CCNRD,310,90,10.0092,248c,310CCNRD90,2,1:54,1:56,1677,1:55,20251216,25,25.5,
25,CCNRD,311,90,10.0129,249a,311CCNRD90,2,1:56,1:58,1850,1:57,20251216,25,25.5,
26,CCNRD,311,90,10.0307,249b,311CCNRD90,2,1:58,2:00,2333,1:59,20251216,25,25.5,
27,CCNRD,311,90,10.014,249c,311CCNRD90,2,2:00,2:02,2402,2:01,20251216,25,25.5,
28,CCNRD,312,90,9.9954,257a,312CCNRD90,2,2:02,2:04,1781,2:03,20251216,25,25.5,
29,CCNRD,312,90,9.9626,257b,312CCNRD90,2,2:04,2:06,1607,2:05,20251216,25,25.5,
30,CCNRD,312,90,10.0071,257c,312CCNRD90,2,2:06,2:08,1892,2:07,20251216,25,25.5,
31,blank,blank,blank,,blank,blank,blank,2:08,2:10,582,2:09,20251216,25,25.5,
32,blank,blank,blank,,blank,blank,blank,2:10,2:12,810,2:11,20251216,25,25.5,
33,blank,blank,blank,,blank,blank,blank,2:12,2:14,525,2:13,20251216,25,25.5,
34,CCNRD,401,90,10.0098,260a,401CCNRD90,2,2:14,2:16,2348,2:15,20251216,25,25.5,pause timing off/soil seems dark for this depth
35,CCNRD,401,90,10,260b,401CCNRD90,2,2:16,2:18,1835,2:17,20251216,25,25.5,soil seems dark for this depth
36,CCNRD,401,90,10.0344,260c,401CCNRD90,2,2:18,2:20,1721,2:19,20251216,25,25.5,soil seems dark for this depth
37,CCNRD,402,90,10.0237,261a,402CCNRD90,2,2:20,2:22,2405,2:21,20251216,25,25.5,
38,CCNRD,402,90,9.9929,261b,402CCNRD90,2,2:22,2:24,2065,2:23,20251216,25,25.5,
39,CCNRD,402,90,9.9854,261c,402CCNRD90,2,2:24,2:26,2234,2:25,20251216,25,25.5,
40,CCNRD,403,90,10.0187,264a,403CCNRD90,2,2:26,2:28,1835,2:27,20251216,25,25.5,
41,CCNRD,403,90,9.9836,264b,403CCNRD90,2,2:28,2:30,1721,2:29,20251216,25,25.5,
42,CCNRD,403,90,10.0304,264c,403CCNRD90,2,2:30,2:32,2063,2:31,20251216,25,25.5,
43,CCNRD,404,90,9.9989,265a,404CCNRD90,2,2:32,2:34,1892,2:33,20251216,25,25.5,
44,CCNRD,404,90,9.9967,265b,404CCNRD90,2,2:34,2:36,1835,2:35,20251216,25,25.5,
45,CCNRD,404,90,10.0396,265c,404CCNRD90,2,2:36,2:38,2006,2:37,20251216,25,25.5,soil seems dark for this depth
46,CCNRD,405,90,9.9798,266a,405CCNRD90,2,2:38,2:40,2405,2:39,20251216,25,25.5,soil seems dark for this depth
47,CCNRD,405,90,9.9807,266b,405CCNRD90,2,2:40,2:42,2234,2:41,20251216,25,25.5,soil seems dark for this depth
48,CCNRD,405,90,9.9945,266c,405CCNRD90,2,2:42,2:44,2348,2:44,20251216,25,25.5,
49,CCNRD,406,90,10.0332,267a,406CCNRD90,2,2:44,2:46,2746,2:46,20251216,25,25.5,
50,CCNRD,406,90,9.9889,267b,406CCNRD90,2,2:46,2:48,2153,2:47,20251216,25,25.5,
51,CCNRD,406,90,10.0269,267c,406CCNRD90,2,2:48,2:50,2443,2:49,20251216,25,25.5,
52,CCNRD,407,90,9.9766,268a,407CCNRD90,2,2:50,2:52,2661,2:51,20251216,25,25.5,
53,CCNRD,407,90,10.0068,268b,407CCNRD90,2,2:52,2:54,2733,2:53,20251216,25,25.5,stop early
54,CCNRD,407,90,9.9606,268c,407CCNRD90,2,2:54,2:56,2443,2:55,20251216,25,25.5,stop early
55,CCNRD,408,90,9.9987,269a,408CCNRD90,2,2:56,2:58,1863,2:57,20251216,25,25.5,soil seems dark for this depth
56,CCNRD,408,90,9.9691,269b,408CCNRD90,2,2:58,3:00,,2:59,20251216,25,25.5,soil seems dark for this depth
57,CCNRD,408,90,9.9831,269c,408CCNRD90,2,3:00,3:02,1790,3:01,20251216,25,25.5,soil seems dark for this depth
58,blank,blank,blank,,blank,blank,blank,3:02,3:04,485,3:03,20251216,25,25.5,timing got off for the last 10 mins
59,blank,blank,blank,,blank,blank,blank,3:04,3:06,558,3:05,20251216,25,25.5,
60,blank,blank,blank,,blank,blank,blank,3:06,3:08,,3:07,20251216,25,25.5,
