"pause","study","plot","depth.cm","soilmass","cup_label","sample.id","mL_water","start","end","ppm.approx","readtime","readdate","temp1_C","temp2_C","NOTES","time","ppm","line","ppm.corr","days","ugC.L","ugC.g.day"
52,"CCNRD","201","90",10.0107,"227a","201CCNRD90","2",2025-12-17 10:42:00,2025-12-17 10:44:00,1720,"10:43",20251211,26,26,"","10:43:00",1726.20333333333,7871,1005.40281481481,1.00002314814815,493.134743380968,45.9099705466996
53,"CCNRD","201","90",10.0259,"227b","201CCNRD90","2",2025-12-17 10:44:00,2025-12-17 10:46:00,1870,"10:45",20251211,26,26,"","10:45:01",1729.66666666667,8028,1008.86614814815,1.00002314814815,494.83345554828,45.9982749922189
54,"CCNRD","201","90",10.0062,"227c","201CCNRD90","2",2025-12-17 10:46:00,2025-12-17 10:48:00,1614,"10:47",20251211,26,26,"ended early","10:46:05",1574.48,8087,853.679481481482,1.00002314814815,418.71676290016,38.9993194025297
55,"CCNRD","202","90",10.0157,"228a","202CCNRD90","2",2025-12-17 10:48:00,2025-12-17 10:50:00,1593,"10:49",20251211,26,26,"","10:48:59",1548.68333333333,8297,827.882814814815,1.00002314814815,406.063891424865,37.7849562744776
56,"CCNRD","202","90",10.0067,"228b","202CCNRD90","2",2025-12-17 10:50:00,2025-12-17 10:52:00,1550,"10:51",20251211,26,26,"","10:51:02",1456.98666666667,8460,736.186148148148,1.00002314814815,361.088075245272,33.6300974515109
57,"CCNRD","202","90",10.0378,"228c","202CCNRD90","2",2025-12-17 10:52:00,2025-12-17 10:54:00,1699,"10:53",20251211,26,26,"","10:53:00",1634.92833333333,8618,914.127814814815,1.00002314814815,448.365748268906,41.6293614671206
58,"CCNRD","203","90",10.0267,"3a","203CCNRD90","2",2025-12-17 10:54:00,2025-12-17 10:56:00,1912,"10:55",20251211,26,26,"","10:55:00",1792.09333333333,8776,1071.29281481481,1.00002314814815,525.452783237815,48.8406612427599
59,"CCNRD","203","90",10.0061,"3b","203CCNRD90","2",2025-12-17 10:56:00,2025-12-17 10:58:00,2253,"10:57",20251211,26,26,"","10:57:00",2125.52833333333,8938,1404.72781481482,1.00002314814815,688.997564231411,64.1739404686406
60,"CCNRD","203","90",10.0283,"3c","203CCNRD90","2",2025-12-17 10:58:00,2025-12-17 11:00:00,2296,"10:59",20251211,26,26,"","10:59:01",2227.12166666667,9092,1506.32114814815,1.00002314814815,738.827544438675,68.6628174531711
61,"CCNRD","204","90",10.0297,"4a","204CCNRD90","2",2025-12-17 11:00:00,2025-12-17 11:02:00,1614,"11:01",20251211,26,26,"","11:01:03",1535.23,9255,814.429481481482,1.00002314814815,399.465236653669,37.1190546744272
62,"CCNRD","204","90",10.0088,"4b","204CCNRD90","2",2025-12-17 11:02:00,2025-12-17 11:04:00,1571,"11:03",20251211,26,26,"","11:03:03",1476.53,9416,755.729481481481,1.00002314814815,370.673782114331,34.5156230689028
63,"CCNRD","204","90",10.0387,"4c","204CCNRD90","2",2025-12-17 11:04:00,2025-12-17 11:06:00,1529,"11:05",20251211,26,26,"","11:05:00",1483.165,9566,762.364481481481,1.00002314814815,373.928148398292,34.7149498780093
64,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 11:06:00,2025-12-17 11:08:00,719,"11:07",20251211,26,26,"","11:07:00",662.433666666667,9734,-58.3668518518518,1.00002314814815,-28.6280504548014,NA
65,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 11:08:00,2025-12-17 11:10:00,677,"11:09",20251211,26,26,"","11:09:00",635.906833333333,9910,-84.8936851851852,1.00002314814815,-41.6390575415008,NA
66,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 11:10:00,2025-12-17 11:12:00,762,"11:11",20251211,26,26,"","11:11:04",697.365,10073,-23.4355185185185,1.00002314814815,-11.4947643276274,NA
67,"CCNRD","205","90",10.0275,"8a","205CCNRD90","2",2025-12-17 11:12:00,2025-12-17 11:14:00,1997,"11:13",20251211,26,26,"","11:13:02",2004.62333333333,10236,1283.82281481482,1.00002314814815,629.695506121042,58.5253180674925
68,"CCNRD","205","90",10.0309,"8b","205CCNRD90","2",2025-12-17 11:14:00,2025-12-17 11:16:00,1933,"11:15",20251211,26,26,"","11:15:00",1910.31,10385,1189.50948148148,1.00002314814815,583.43625485835,54.2074991000173
69,"CCNRD","205","90",10.028,"8c","205CCNRD90","2",2025-12-17 11:16:00,2025-12-17 11:18:00,1784,"11:17",20251211,26,26,"","11:17:00",1669.41333333333,10556,948.612814814815,1.00002314814815,465.280114704835,43.2420252442762
70,"CCNRD","206","90",10.0072,"12a","206CCNRD90","2",2025-12-17 11:18:00,2025-12-17 11:20:00,NA,"11:19",20251211,26,26,"","11:19:45",1740.35,10807,1019.54948148148,1.00002314814815,500.073467575457,46.5722363306444
71,"CCNRD","206","90",10.0181,"12b","206CCNRD90","2",2025-12-17 11:20:00,2025-12-17 11:22:00,1870,"11:21",20251211,26,26,"","11:21:17",1915.52333333333,10925,1194.72281481481,1.00002314814815,585.993315329646,54.514641290931
72,"CCNRD","206","90",10.0106,"12c","206CCNRD90","2",2025-12-17 11:22:00,2025-12-17 11:24:00,1763,"11:23",20251211,26,26,"","11:23:04",1798.745,11075,1077.94448148148,1.00002314814815,528.715324267529,49.2229512654387
73,"CCNRD","207","90",10.0241,"15a","207CCNRD90","2",2025-12-17 11:24:00,2025-12-17 11:26:00,2125,"11:25",20251211,26,26,"","11:25:00",1990.71166666667,11241,1269.91114814815,1.00002314814815,622.87204584166,57.9107659687978
74,"CCNRD","207","90",10.0075,"15b","207CCNRD90","2",2025-12-17 11:26:00,2025-12-17 11:28:00,1912,"11:27",20251211,26,26,"","11:27:10",1750.305,11430,1029.50448148148,1.00002314814815,504.956243213261,47.0255633238604
75,"CCNRD","207","90",10.0185,"15c","207CCNRD90","2",2025-12-17 11:28:00,2025-12-17 11:30:00,1699,"11:29",20251211,26,26,"","11:29:01",1705.04333333333,11563,984.242814814815,1.00002314814815,482.756086173942,44.9087445764969
76,"CCNRD","208","90",10.0101,"16a","208CCNRD90","2",2025-12-17 11:30:00,2025-12-17 11:32:00,1784,"11:31",20251211,26,26,"","11:31:00",1712.75833333333,11719,991.957814814815,1.00002314814815,486.540175982648,45.29874303004
77,"CCNRD","208","90",10.0006,"16b","208CCNRD90","2",2025-12-17 11:32:00,2025-12-17 11:34:00,1678,"11:33",20251211,26,26,"","11:33:01",1516.88,11889,796.079481481481,1.00002314814815,390.464841580469,36.3882975652036
78,"CCNRD","208","90",10.0178,"16c","208CCNRD90","2",2025-12-17 11:34:00,2025-12-17 11:36:00,2019,"11:35",20251211,26,26,"","11:34:59",2047.905,12047,1327.10448148148,1.00002314814815,650.924503364996,60.5569680336789
79,"CCNRD","209","90",10.0127,"19a","209CCNRD90","2",2025-12-17 11:36:00,2025-12-17 11:38:00,1699,"11:37",20251211,26,26,"","11:37:00",1736.79333333333,12210,1015.99281481481,1.00002314814815,498.328976831932,46.3842775345272
80,"CCNRD","209","90",10.0171,"19b","209CCNRD90","2",2025-12-17 11:38:00,2025-12-17 11:40:00,1827,"11:39",20251211,26,26,"","11:38:59",1717.24666666667,12379,996.446148148148,1.00002314814815,488.741635013722,45.4719090284238
81,"CCNRD","209","90",10.0015,"19c","209CCNRD90","2",2025-12-17 11:40:00,2025-12-17 11:42:00,1806,"11:41",20251211,26,26,"","11:41:10",1725.785,12561,1004.98448148148,1.00002314814815,492.929557262587,45.9330813494089
82,"CCNRD","210","90",10.0168,"20a","210CCNRD90","2",2025-12-17 11:42:00,2025-12-17 11:44:00,NA,"11:43",20251211,26,26,"","11:43:21",1552.14833333333,12738,831.347814814815,1.00002314814815,407.763421066753,37.9389337432708
83,"CCNRD","210","90",10.0267,"20b","210CCNRD90","2",2025-12-17 11:44:00,2025-12-17 11:46:00,1678,"11:45",20251211,26,26,"","11:45:14",1698.45333333333,12901,977.652814814815,1.00002314814815,479.523791703513,44.5715767725513
84,"CCNRD","210","90",10.0055,"20c","210CCNRD90","2",2025-12-17 11:46:00,2025-12-17 11:48:00,2125,"11:47",20251211,26,26,"","11:47:03",2147.58666666667,13025,1426.78614814815,1.00002314814815,699.816840234481,65.1855676925358
85,"CCNRD","211","90",10.0323,"24a","211CCNRD90","2",2025-12-17 11:48:00,2025-12-17 11:50:00,1678,"11:49",20251211,26,26,"","11:48:59",1585.32833333333,13177,864.527814814815,1.00002314814815,424.037704910283,39.3921626114936
86,"CCNRD","211","90",10.0204,"24b","211CCNRD90","2",2025-12-17 11:50:00,2025-12-17 11:52:00,1571,"11:51",20251211,26,26,"","11:51:09",1535.01166666667,13350,814.211148148148,1.00002314814815,399.358147484315,37.1435449555467
87,"CCNRD","211","90",10.0173,"24c","211CCNRD90","2",2025-12-17 11:52:00,2025-12-17 11:54:00,1529,"11:53",20251211,26,26,"","11:53:02",1575.66833333333,13500,854.867814814815,1.00002314814815,419.299622272293,39.010332341655
88,"CCNRD","212","90",10.0119,"28a","212CCNRD90","2",2025-12-17 11:54:00,2025-12-17 11:56:00,1440,"11:55",20251211,26,26,"","11:55:01",1501.28833333333,13647,780.487814814815,1.00002314814815,382.817366929262,35.6353466613746
89,"CCNRD","212","90",10.0235,"28b","212CCNRD90","2",2025-12-17 11:56:00,2025-12-17 11:58:00,1806,"11:57",20251211,26,26,"","11:57:00",1750.13166666667,13811,1029.33114814815,1.00002314814815,504.871225857438,46.9425939663824
90,"CCNRD","212","90",10.0067,"28c","212CCNRD90","2",2025-12-17 11:58:00,2025-12-17 12:00:00,1635,"11:59",20251211,26,26,"","11:59:03",1672.14833333333,13977,951.347814814815,1.00002314814815,466.621590482775,43.4590080280427
91,"CCNRD","301","90",10.0229,"31a","301CCNRD90","2",2025-12-17 12:00:00,2025-12-17 12:02:00,1358,"12:01",20251211,26,26,"","12:01:14",1356.23666666667,14179,635.436148148148,1.00002314814815,311.67173717307,28.980767559469
92,"CCNRD","301","90",10.0185,"31b","301CCNRD90","2",2025-12-17 12:02:00,2025-12-17 12:04:00,1231,"12:03",20251211,26,26,"","12:03:12",1285.75,14350,564.949481481481,1.00002314814815,277.099102437759,25.7773504470539
93,"CCNRD","301","90",10.0237,"31c","301CCNRD90","2",2025-12-17 12:04:00,2025-12-17 12:06:00,1380,"12:05",20251211,26,26,"","12:06:03",1317.35666666667,14619,596.556148148148,1.00002314814815,292.601690282279,27.2053695620046
94,"CCNRD","302","90",10.0079,"240a","302CCNRD90","2",2025-12-17 12:06:00,2025-12-17 12:08:00,1955,"12:07",20251211,26,26,"fell behind on pause","12:07:47",1831.03166666667,14777,1110.23114814815,1.00002314814815,544.55144173874,50.710957921173
95,"CCNRD","302","90",10.0088,"240b","302CCNRD90","2",2025-12-17 12:08:00,2025-12-17 12:10:00,1650,"12:09",20251211,26,26,"","12:09:22",1728.67333333333,14917,1007.87281481481,1.00002314814815,494.346240701448,46.0314954358369
96,"CCNRD","302","90",10.0068,"240c","302CCNRD90","2",2025-12-17 12:10:00,2025-12-17 12:12:00,1848,"12:11",20251211,26,26,"","12:11:06",1712.88666666667,15068,992.086148148148,1.00002314814815,486.60312152494,45.3195438594215
97,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 12:12:00,2025-12-17 12:14:00,741,"12:13",20251211,26,26,"","12:13:00",683.096833333333,15229,-37.7036851851852,1.00002314814815,-18.49308241865,NA
98,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 12:14:00,2025-12-17 12:16:00,677,"12:15",20251211,26,26,"","12:14:08",722.000666666667,15290,1.20014814814817,1.00002314814815,0.588654358566922,NA
99,"blank","blank","blank",NA,"blank","blank","blank",2025-12-17 12:16:00,2025-12-17 12:18:00,NA,"12:17",20251211,26,26,"","12:16:02",802.252666666667,NA,81.4521481481481,1.00002314814815,39.9510361250221,NA
