plot,depth.cm,sample.id,cup_label,ugC.g.day
105,60,105CCNRD60,176b,65.27629433
105,90,105CCNRD90,219b,50.27929434
105,90,105CCNRD90,219a,56.47662867
105,90,105CCNRD90,219c,60.11380026
106,15,106CCNRD15,300c,195.7975214
106,15,106CCNRD15,300b,201.5946943
106,15,106CCNRD15,300a,207.9324617
106,30,106CCNRD30,134C,91.07022272
106,30,106CCNRD30,134B,93.12882539
106,60,106CCNRD60,177b,74.07090372
106,60,106CCNRD60,177c,76.43694459
106,60,106CCNRD60,177a,77.42184204
106,90,106CCNRD90,220c,45.17999043
106,90,106CCNRD90,220b,50.81250267
106,90,106CCNRD90,220a,59.22469784
107,15,107CCNRD15,301b,118.2453363
107,15,107CCNRD15,301a,143.7992485
107,30,107CCNRD30,135C,74.90442457
107,30,107CCNRD30,135A,95.48314204
107,30,107CCNRD30,135B,100.2279647
107,60,107CCNRD60,178c,41.74120136
107,60,107CCNRD60,178b,45.46193074
107,60,107CCNRD60,178a,46.06668099
107,90,107CCNRD90,221a,32.87407464
107,90,107CCNRD90,221b,34.62393234
107,90,107CCNRD90,221c,37.18601462
108,15,108CCNRD15,304b,130.1666793
108,15,108CCNRD15,304a,131.3222093
108,15,108CCNRD15,304c,154.49226
108,30,108CCNRD30,136B,81.29252736
108,30,108CCNRD30,136A,82.43070123
108,30,108CCNRD30,136C,93.5814427
108,60,108CCNRD60,179b,51.94982487
108,60,108CCNRD60,179a,55.40871082
108,90,108CCNRD90,222a,33.49699624
108,90,108CCNRD90,222c,37.76647157
109,15,109CCNRD15,340a,219.2643082
109,15,109CCNRD15,340b,227.4424764
109,15,109CCNRD15,340c,253.1607205
109,30,109CCNRD30,137B,55.94664849
109,30,109CCNRD30,137A,58.87175409
109,30,109CCNRD30,137C,63.30814319
109,60,109CCNRD60,180a,23.89255918
109,60,109CCNRD60,180b,32.52835839
109,60,109CCNRD60,180c,34.23564034
109,90,109CCNRD90,223b,34.09297368
109,90,109CCNRD90,223c,35.95661212
109,90,109CCNRD90,223a,40.30095756
110,15,110CCNRD15,90c,213.7258944
110,15,110CCNRD15,90b,262.260331
110,15,110CCNRD15,90a,290.0124419
110,30,110CCNRD30,138A,81.04765254
110,30,110CCNRD30,138B,103.8014843
110,30,110CCNRD30,138C,110.2296233
110,60,110CCNRD60,181a,41.25614705
110,60,110CCNRD60,181c,41.89000657
110,60,110CCNRD60,181b,42.69621792
110,90,110CCNRD90,224a,49.42071536
110,90,110CCNRD90,224c,50.81656103
110,90,110CCNRD90,224b,52.61671681
111,15,111CCNRD15,91a,219.3166501
111,15,111CCNRD15,91b,223.7738697
111,15,111CCNRD15,91c,239.7457767
111,30,111CCNRD30,139A,93.46619776
111,30,111CCNRD30,139C,114.5049247
111,30,111CCNRD30,139B,115.712526
111,60,111CCNRD60,146c,66.42069798
111,60,111CCNRD60,146b,68.42349036
111,60,111CCNRD60,146a,72.18003467
111,90,111CCNRD90,225c,46.22168748
111,90,111CCNRD90,225b,51.33268205
111,90,111CCNRD90,225a,51.82838583
112,15,112CCNRD15,92b,231.3481191
112,15,112CCNRD15,92c,242.6543125
112,15,112CCNRD15,92a,256.5543054
112,30,112CCNRD30,140B,86.37509114
112,30,112CCNRD30,140C,96.19229478
112,30,112CCNRD30,140A,103.7726732
112,60,112CCNRD60,183a,38.79043371
112,60,112CCNRD60,183b,47.6917652
112,90,112CCNRD90,147b,42.97620939
112,90,112CCNRD90,147c,45.55428461
112,90,112CCNRD90,147a,46.59186934
201,15,201CCNRD15,93a,287.9269398
201,15,201CCNRD15,93c,292.100069
201,15,201CCNRD15,93b,304.1906875
201,30,201CCNRD30,141C,83.06070696
201,30,201CCNRD30,141A,100.6244687
201,30,201CCNRD30,141B,108.6147545
201,60,201CCNRD60,184a,52.58783416
201,60,201CCNRD60,184c,57.16711923
201,90,201CCNRD90,227c,38.9993194
201,90,201CCNRD90,227a,45.90997055
201,90,201CCNRD90,227b,45.99827499
202,15,202CCNRD15,94b,205.3694223
202,15,202CCNRD15,94a,212.797651
202,15,202CCNRD15,94c,227.6026655
202,30,202CCNRD30,142A,73.19739526
202,30,202CCNRD30,142B,74.67193953
202,30,202CCNRD30,142C,77.98739406
202,60,202CCNRD60,185c,44.03278048
202,60,202CCNRD60,185a,48.19534316
202,60,202CCNRD60,185b,52.40858063
202,90,202CCNRD90,228b,33.63009745
202,90,202CCNRD90,228a,37.78495627
202,90,202CCNRD90,228c,41.62936147
203,15,203CCNRD15,95b,240.9760059
203,15,203CCNRD15,95c,244.1405829
203,30,203CCNRD30,143C,82.04980549
203,30,203CCNRD30,143B,92.62468694
203,30,203CCNRD30,143A,97.76707242
203,60,203CCNRD60,186c,65.51978004
203,60,203CCNRD60,186a,73.59520575
203,60,203CCNRD60,186b,74.24468936
203,90,203CCNRD90,3a,48.84066124
203,90,203CCNRD90,3b,64.17394047
203,90,203CCNRD90,3c,68.66281745
204,15,204CCNRD15,96a,201.3370788
204,15,204CCNRD15,96b,222.332489
204,15,204CCNRD15,96c,234.8890101
204,30,204CCNRD30,144C,66.43461981
204,30,204CCNRD30,144A,76.68900587
204,30,204CCNRD30,144B,77.71766702
204,60,204CCNRD60,187c,41.15595092
204,60,204CCNRD60,187b,43.97836344
204,60,204CCNRD60,187a,52.18514861
204,90,204CCNRD90,4b,34.51562307
204,90,204CCNRD90,4c,34.71494988
204,90,204CCNRD90,4a,37.11905467
205,15,205CCNRD15,97b,203.7661223
205,15,205CCNRD15,97c,212.601156
205,15,205CCNRD15,97a,225.0809983
205,30,205CCNRD30,145c,95.74603726
205,30,205CCNRD30,145A,96.86139247
205,30,205CCNRD30,145b,100.0144411
205,60,205CCNRD60,188c,43.17710339
205,60,205CCNRD60,188b,54.50461722
205,60,205CCNRD60,188a,57.53854138
205,90,205CCNRD90,8c,43.24202524
205,90,205CCNRD90,8b,54.2074991
205,90,205CCNRD90,8a,58.52531807
206,15,206CCNRD15,98a,222.9924419
206,15,206CCNRD15,98b,252.5604481
206,15,206CCNRD15,98c,278.3527283
206,30,206CCNRD30,146b,71.00459268
206,30,206CCNRD30,146a,87.54739454
206,30,206CCNRD30,146c,92.70346186
206,60,206CCNRD60,189c,47.36883648
206,60,206CCNRD60,189b,50.51458506
206,60,206CCNRD60,189a,56.86745783
206,90,206CCNRD90,12a,46.57223633
206,90,206CCNRD90,12c,49.22295127
206,90,206CCNRD90,12b,54.51464129
207,15,207CCNRD15,99b,221.5903946
207,15,207CCNRD15,99c,245.5979692
207,15,207CCNRD15,99a,273.738488
207,30,207CCNRD30,147b,79.1801486
207,30,207CCNRD30,147c,80.70734892
207,30,207CCNRD30,147a,83.62592097
207,60,207CCNRD60,190a,40.78073954
207,60,207CCNRD60,190c,51.67752549
207,90,207CCNRD90,15c,44.90874458
207,90,207CCNRD90,15b,47.02556332
207,90,207CCNRD90,15a,57.91076597
208,15,208CCNRD15,100b,271.178469
208,15,208CCNRD15,100c,285.3298502
208,15,208CCNRD15,100a,289.7164724
208,30,208CCNRD30,148b,85.39736166
208,30,208CCNRD30,148c,88.23934041
208,30,208CCNRD30,148a,100.2425448
208,60,208CCNRD60,144c,83.11290009
208,60,208CCNRD60,144b,83.77040454
208,90,208CCNRD90,16b,36.38829757
208,90,208CCNRD90,16a,45.29874303
209,15,209CCNRD15,101a,173.3015674
209,15,209CCNRD15,101b,202.9143216
209,30,209CCNRD30,149a,106.2922463
209,30,209CCNRD30,149b,108.4399695
209,30,209CCNRD30,149c,116.462458
209,60,209CCNRD60,192c,53.60987339
209,60,209CCNRD60,192a,55.57330676
209,60,209CCNRD60,192b,58.77755629
209,90,209CCNRD90,19b,45.47190903
209,90,209CCNRD90,19c,45.93308135
209,90,209CCNRD90,19a,46.38427753
210,15,210CCNRD15,102c,231.9936754
210,15,210CCNRD15,102b,236.9082487
210,15,210CCNRD15,102a,285.6791032
210,30,210CCNRD30,150c,85.50564595
210,30,210CCNRD30,150b,105.9788573
210,30,210CCNRD30,150a,113.6196381
210,60,210CCNRD60,193b,46.5002054
210,60,210CCNRD60,193c,54.2296903
210,60,210CCNRD60,193a,57.13775685
210,90,210CCNRD90,20a,37.93893374
210,90,210CCNRD90,20b,44.57157677
211,15,211CCNRD15,103c,195.9858485
211,15,211CCNRD15,103b,228.7524186
211,15,211CCNRD15,103a,233.5984132
211,30,211CCNRD30,151c,67.81430898
211,30,211CCNRD30,151b,76.73752351
211,30,211CCNRD30,151a,83.44319393
211,60,211CCNRD60,194c,59.94061614
211,60,211CCNRD60,194b,61.81102858
211,90,211CCNRD90,24b,37.14354496
211,90,211CCNRD90,24c,39.01033234
211,90,211CCNRD90,24a,39.39216261
212,15,212CCNRD15,104a,186.5220593
212,15,212CCNRD15,104c,204.3190645
212,15,212CCNRD15,104b,231.6830317
212,30,212CCNRD30,152a,77.34860584
212,30,212CCNRD30,152c,78.28138533
212,30,212CCNRD30,152b,83.61828338
212,60,212CCNRD60,195b,55.36042212
212,60,212CCNRD60,195c,55.56455873
212,60,212CCNRD60,195a,65.63685707
212,90,212CCNRD90,28a,35.63534666
212,90,212CCNRD90,28c,43.45900803
212,90,212CCNRD90,28b,46.94259397
301,15,301CCNRD15,105b,307.3918349
301,15,301CCNRD15,105a,387.2603816
301,15,301CCNRD15,105c,432.5895348
301,30,301CCNRD30,153a,94.7598494
301,30,301CCNRD30,153b,98.35527468
301,30,301CCNRD30,153c,121.198892
301,60,301CCNRD60,196a,44.23579865
301,60,301CCNRD60,196b,51.05628693
301,60,301CCNRD60,196c,55.6946208
301,90,301CCNRD90,31b,25.77735045
301,90,301CCNRD90,31c,27.20536956
301,90,301CCNRD90,31a,28.98076756
302,15,302CCNRD15,106b,226.2127637
302,15,302CCNRD15,106a,243.86752
302,30,302CCNRD30,154c,83.27468959
302,30,302CCNRD30,154b,101.8636441
302,30,302CCNRD30,154a,102.9584135
302,60,302CCNRD60,197c,73.49392459
302,60,302CCNRD60,197b,97.00319943
302,60,302CCNRD60,197a,100.3377034
302,90,302CCNRD90,240c,45.31954386
302,90,302CCNRD90,240b,46.03149544
302,90,302CCNRD90,240a,50.71095792
303,15,303CCNRD15,107c,206.0220473
303,15,303CCNRD15,107b,239.9547925
303,15,303CCNRD15,107a,254.3250142
303,30,303CCNRD30,155c,83.67781236
303,30,303CCNRD30,155b,110.0473156
303,30,303CCNRD30,155a,122.140466
303,60,303CCNRD60,198c,77.53603142
303,60,303CCNRD60,198b,79.87983541
303,60,303CCNRD60,198a,81.31384591
303,90,303CCNRD90,241c,53.22702247
303,90,303CCNRD90,241b,57.98345937
303,90,303CCNRD90,241a,58.48656303
304,15,304CCNRD15,108b,312.9831425
304,15,304CCNRD15,108c,329.5585353
304,15,304CCNRD15,108a,337.4251014
304,30,304CCNRD30,156a,104.5434534
304,30,304CCNRD30,156c,106.2395095
304,60,304CCNRD60,199b,56.27888257
304,60,304CCNRD60,199c,60.1096509
304,90,304CCNRD90,242a,37.0555497
304,90,304CCNRD90,242b,45.16492834
305,15,305CCNRD15,114c,183.8224843
305,15,305CCNRD15,114a,209.7257577
305,15,305CCNRD15,114b,213.4559012
305,30,305CCNRD30,157c,91.33481302
305,30,305CCNRD30,157b,127.0189781
305,30,305CCNRD30,157a,132.3320947
305,60,305CCNRD60,200a,74.54472642
305,60,305CCNRD60,200b,76.49700817
305,90,305CCNRD90,243c,56.53718155
305,90,305CCNRD90,243b,60.56899627
306,15,306CCNRD15,115a,159.546891
306,15,306CCNRD15,115c,203.3052135
306,30,306CCNRD30,158a,99.00338257
306,30,306CCNRD30,158c,108.5632127
306,30,306CCNRD30,158b,130.6799764
306,60,306CCNRD60,201a,52.609817
306,60,306CCNRD60,201b,62.3856288
306,60,306CCNRD60,201c,70.35218167
306,90,306CCNRD90,244a,44.80927897
306,90,306CCNRD90,244b,45.40165548
306,90,306CCNRD90,244c,46.16406765
307,15,307CCNRD15,116a,147.3331016
307,15,307CCNRD15,116c,180.2398657
307,30,307CCNRD30,159b,99.67138628
307,30,307CCNRD30,159a,122.5907028
307,60,307CCNRD60,202c,61.48613397
307,60,307CCNRD60,202b,62.60251919
307,60,307CCNRD60,202a,67.67672214
307,90,307CCNRD90,245b,46.29335852
307,90,307CCNRD90,245a,55.20590826
307,90,307CCNRD90,245c,55.8804082
308,15,308CCNRD15,117c,149.4831179
308,15,308CCNRD15,117b,169.6816113
308,15,308CCNRD15,117a,171.9337306
308,30,308CCNRD30,160c,91.03204486
308,30,308CCNRD30,160b,109.6005461
308,30,308CCNRD30,160a,124.1102966
308,60,308CCNRD60,203b,57.00842223
308,60,308CCNRD60,203c,70.9429591
308,60,308CCNRD60,203a,73.59140002
308,90,308CCNRD90,246b,45.60667469
308,90,308CCNRD90,246a,49.29911751
308,90,308CCNRD90,246c,50.0327747
309,15,309CCNRD15,118b,180.8727071
309,15,309CCNRD15,118c,217.4361146
309,15,309CCNRD15,118a,251.4702937
309,30,309CCNRD30,161c,145.98359
309,30,309CCNRD30,161b,158.2269767
309,60,309CCNRD60,204b,46.09200481
309,60,309CCNRD60,204c,52.95689446
309,90,309CCNRD90,247a,44.84953909
309,90,309CCNRD90,247b,53.34981473
309,90,309CCNRD90,247c,63.67436856
310,15,310CCNRD15,119b,178.4886537
310,15,310CCNRD15,119c,198.1164584
310,15,310CCNRD15,119a,200.7998515
310,30,310CCNRD30,162a,112.6636829
310,30,310CCNRD30,162b,113.1627535
310,30,310CCNRD30,162c,116.4394603
310,60,310CCNRD60,205a,38.7189582
310,60,310CCNRD60,205b,48.72019653
310,60,310CCNRD60,205c,55.72770727
310,90,310CCNRD90,248c,41.77886235
310,90,310CCNRD90,248b,46.03458588
310,90,310CCNRD90,248a,50.80074644
311,15,311CCNRD15,120a,195.899836
311,15,311CCNRD15,120b,198.2153399
311,30,311CCNRD30,163b,78.83009383
311,30,311CCNRD30,163c,91.74019475
311,30,311CCNRD30,163a,98.78846962
311,60,311CCNRD60,206a,62.7334176
311,60,311CCNRD60,206c,66.10917332
311,60,311CCNRD60,206b,66.45616263
311,90,311CCNRD90,249a,54.41834655
311,90,311CCNRD90,249b,74.03107707
311,90,311CCNRD90,249c,77.98822518
312,15,312CCNRD15,121b,144.41285
312,15,312CCNRD15,121c,153.369844
312,30,312CCNRD30,164c,89.06495727
312,30,312CCNRD30,164a,108.853016
312,60,312CCNRD60,207a,65.45960846
312,60,312CCNRD60,207b,71.78589674
312,90,312CCNRD90,257c,43.34424117
312,90,312CCNRD90,257a,47.10751876
312,90,312CCNRD90,257b,47.54884944
401,15,401CCNRD15,122a,200.1965883
401,15,401CCNRD15,122b,238.1613213
401,30,401CCNRD30,165b,81.98684353
401,30,401CCNRD30,165a,82.16932544
401,30,401CCNRD30,165c,83.24170943
401,60,401CCNRD60,208b,44.45755144
401,60,401CCNRD60,208c,59.61700185
401,60,401CCNRD60,208a,63.79383633
401,90,401CCNRD90,260b,45.52272335
401,90,401CCNRD90,260a,53.18791844
402,15,402CCNRD15,123b,170.6585583
402,15,402CCNRD15,123a,196.8947705
402,15,402CCNRD15,123c,210.3891506
402,30,402CCNRD30,166a,113.5504575
402,30,402CCNRD30,166b,140.0369694
402,30,402CCNRD30,166c,146.235455
402,60,402CCNRD60,209c,70.20584888
402,60,402CCNRD60,209b,74.56514123
402,60,402CCNRD60,209a,87.92658266
402,90,402CCNRD90,261b,70.1320393
402,90,402CCNRD90,261c,81.15510829
402,90,402CCNRD90,261a,81.46766627
403,15,403CCNRD15,124b,167.7392083
403,15,403CCNRD15,124a,184.3038901
403,15,403CCNRD15,124c,196.0330359
403,30,403CCNRD30,167c,85.15337362
403,30,403CCNRD30,167b,88.64430578
403,30,403CCNRD30,167a,99.42022581
403,60,403CCNRD60,210b,48.64472583
403,60,403CCNRD60,145b,61.60497546
403,60,403CCNRD60,145c,65.39785986
403,60,403CCNRD60,210a,67.86143906
403,60,403CCNRD60,145a,72.70221098
403,90,403CCNRD90,264a,43.72553311
403,90,403CCNRD90,264b,54.74120932
403,90,403CCNRD90,264c,60.51654828
404,15,404CCNRD15,125c,187.3071109
404,15,404CCNRD15,125b,213.0868462
404,15,404CCNRD15,125a,224.8689264
404,30,404CCNRD30,168b,104.6130804
404,30,404CCNRD30,168c,124.7595493
404,30,404CCNRD30,168a,143.2212488
404,60,404CCNRD60,211c,45.13433903
404,60,404CCNRD60,211b,47.39739109
404,60,404CCNRD60,211a,48.11452029
404,90,404CCNRD90,265b,47.23026728
404,90,404CCNRD90,265a,53.86821567
404,90,404CCNRD90,265c,65.83718573
405,15,405CCNRD15,126c,137.3648197
405,15,405CCNRD15,126b,161.9275649
405,15,405CCNRD15,126a,165.441986
405,30,405CCNRD30,169b,101.5299024
405,30,405CCNRD30,169c,108.1925136
405,30,405CCNRD30,169a,110.0907311
405,60,405CCNRD60,212b,48.01472823
405,60,405CCNRD60,212c,49.69557642
405,60,405CCNRD60,212a,55.77890143
405,90,405CCNRD90,266a,50.89430882
405,90,405CCNRD90,266c,63.35108538
405,90,405CCNRD90,266b,64.34850617
406,15,406CCNRD15,127c,278.0297992
406,15,406CCNRD15,127b,309.6038329
406,30,406CCNRD30,170c,121.4947852
406,30,406CCNRD30,170a,130.1876641
406,60,406CCNRD60,213b,52.82057309
406,60,406CCNRD60,213a,60.45564557
406,60,406CCNRD60,213c,69.86913078
406,90,406CCNRD90,267c,69.75221883
406,90,406CCNRD90,267b,71.52484975
406,90,406CCNRD90,267a,80.38826515
407,15,407CCNRD15,128a,149.5338156
407,15,407CCNRD15,128c,160.0631629
407,15,407CCNRD15,128b,198.9790088
407,30,407CCNRD30,171c,111.5051568
407,30,407CCNRD30,171b,118.4847735
407,30,407CCNRD30,171a,125.7637453
407,60,407CCNRD60,214b,62.26522271
407,60,407CCNRD60,214c,78.21759902
407,60,407CCNRD60,214a,79.96786383
407,90,407CCNRD90,268a,79.39086417
407,90,407CCNRD90,268b,85.07670886
407,90,407CCNRD90,268c,86.96956947
408,15,408CCNRD15,129b,227.7564816
408,15,408CCNRD15,129a,231.519222
408,15,408CCNRD15,129c,234.4379625
408,30,408CCNRD30,172a,81.89011999
408,30,408CCNRD30,172b,82.77213432
408,60,408CCNRD60,215a,40.7802701
408,60,408CCNRD60,215c,46.36221296
408,60,408CCNRD60,215b,49.23776
408,90,408CCNRD90,269b,47.56996739
408,90,408CCNRD90,269a,58.82726477
408,90,408CCNRD90,269c,61.00772626
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
blank,blank,blank,blank,NA
